gender,age,id,became_member_on,income
M,46,166,20141214,60000.0
M,85,167,20180726,67000.0
F,51,168,20170316,85000.0
,118,169,20150905,
F,53,170,20160427,85000.0
M,51,171,20160810,92000.0
,118,172,20180114,
M,48,173,20150601,44000.0
M,52,174,20180605,72000.0
,118,175,20170607,
M,62,176,20160305,53000.0
M,42,177,20180325,62000.0
M,55,178,20171025,65000.0
F,27,179,20150915,50000.0
M,68,180,20180530,107000.0
F,74,181,20171220,83000.0
M,77,182,20141011,66000.0
M,35,183,20180118,72000.0
F,50,184,20171108,69000.0
M,45,185,20151027,94000.0
M,82,186,20161231,87000.0
M,40,187,20131222,57000.0
M,66,188,20180617,34000.0
M,52,189,20180411,63000.0
F,57,190,20160329,89000.0
M,68,191,20160629,69000.0
M,21,192,20180303,52000.0
M,61,193,20170815,44000.0
,118,194,20160506,
F,58,195,20180317,54000.0
F,67,196,20180614,54000.0
M,24,197,20170212,61000.0
,118,198,20150206,
M,26,199,20171117,35000.0
F,71,200,20171207,105000.0
F,69,201,20171212,64000.0
M,81,202,20180503,93000.0
M,62,203,20160405,73000.0
M,38,204,20170709,74000.0
M,61,205,20170926,82000.0
F,52,206,20170809,92000.0
M,50,207,20171225,70000.0
M,54,208,20170216,118000.0
F,75,209,20180502,109000.0
M,82,210,20180319,73000.0
M,64,211,20180720,38000.0
F,54,212,20151006,99000.0
,118,213,20180708,
M,82,214,20180108,72000.0
,118,215,20151115,
M,90,216,20180509,45000.0
F,34,217,20180417,67000.0
M,44,218,20180718,53000.0
F,79,219,20180711,106000.0
F,58,220,20161231,95000.0
,118,221,20180327,
F,47,222,20160105,74000.0
F,60,223,20171117,59000.0
M,83,224,20170807,54000.0
F,74,225,20180517,103000.0
M,89,226,20150917,101000.0
M,68,227,20160305,62000.0
F,63,228,20171127,110000.0
F,40,229,20180706,51000.0
F,79,230,20171217,99000.0
M,71,231,20180321,30000.0
F,76,232,20150906,114000.0
M,89,233,20160528,96000.0
M,63,234,20170729,36000.0
,118,235,20180501,
M,41,236,20170922,83000.0
F,71,237,20180408,56000.0
M,44,238,20171011,36000.0
M,25,239,20160406,73000.0
M,27,240,20180327,70000.0
M,67,241,20180212,106000.0
F,77,242,20160219,80000.0
F,68,243,20151229,66000.0
M,37,244,20160420,64000.0
M,55,245,20160323,60000.0
M,30,246,20160903,54000.0
M,51,247,20150815,54000.0
F,47,248,20180712,92000.0
M,49,249,20180204,48000.0
M,32,250,20151008,38000.0
M,30,251,20170418,69000.0
M,47,252,20170225,86000.0
,118,253,20171207,
M,34,254,20170123,34000.0
F,78,255,20170604,101000.0
F,85,256,20160302,71000.0
F,75,257,20130806,69000.0
F,76,258,20170311,71000.0
F,89,259,20150722,59000.0
M,58,260,20180129,70000.0
M,23,261,20171030,49000.0
M,58,262,20170916,53000.0
,118,263,20171228,
F,64,264,20151012,95000.0
M,72,265,20170909,39000.0
F,66,266,20170811,72000.0
F,49,267,20170809,68000.0
M,43,268,20170413,71000.0
M,58,269,20180717,39000.0
M,43,270,20170806,76000.0
F,56,271,20170329,87000.0
F,69,272,20171016,118000.0
O,60,273,20180216,94000.0
M,81,274,20160601,70000.0
M,42,275,20170403,91000.0
M,75,276,20150110,71000.0
M,62,277,20180127,73000.0
F,55,278,20160505,54000.0
M,65,279,20171011,39000.0
M,52,280,20170227,46000.0
F,30,281,20171015,40000.0
F,74,282,20150924,75000.0
F,100,283,20150828,63000.0
F,26,284,20170324,40000.0
F,56,285,20160328,53000.0
M,50,286,20141015,90000.0
M,73,287,20171008,95000.0
F,49,288,20171210,74000.0
M,37,289,20160109,50000.0
M,65,290,20160212,57000.0
F,64,291,20160225,81000.0
F,48,292,20161014,53000.0
M,20,293,20150812,32000.0
,118,294,20180205,
M,46,295,20180723,40000.0
M,24,296,20150427,69000.0
M,71,297,20150826,95000.0
F,50,298,20180525,78000.0
M,37,299,20170515,92000.0
F,57,300,20160522,81000.0
,118,301,20170920,
M,52,302,20140425,85000.0
M,41,303,20160824,41000.0
F,66,304,20170618,74000.0
F,66,305,20151001,87000.0
F,68,306,20171025,120000.0
M,20,307,20160308,70000.0
M,43,308,20170704,42000.0
M,73,309,20171212,38000.0
,118,310,20180406,
F,42,311,20170529,56000.0
M,82,312,20160604,110000.0
,118,313,20180418,
F,70,314,20171109,92000.0
F,42,315,20171010,71000.0
M,48,316,20150903,62000.0
F,53,317,20150910,93000.0
M,64,318,20180304,67000.0
M,79,319,20180123,90000.0
M,51,320,20160511,55000.0
F,45,321,20180120,88000.0
F,48,322,20160602,105000.0
,118,323,20150817,
F,54,324,20151024,119000.0
M,52,325,20180710,48000.0
M,28,326,20130924,68000.0
M,69,327,20140502,47000.0
M,73,328,20170627,92000.0
,118,329,20170821,
F,67,330,20170813,71000.0
F,76,331,20180613,34000.0
F,55,332,20151121,53000.0
F,89,333,20180623,83000.0
,118,334,20170201,
M,57,335,20180429,41000.0
,118,336,20160721,
F,54,337,20180211,70000.0
,118,338,20150811,
M,58,339,20171227,73000.0
,118,340,20170815,
M,49,341,20171123,39000.0
F,73,342,20180507,79000.0
F,58,343,20170219,76000.0
M,51,344,20171214,70000.0
M,74,345,20160418,78000.0
M,53,346,20150906,95000.0
M,61,347,20180227,32000.0
,118,348,20170912,
M,41,349,20171024,55000.0
F,64,350,20171008,95000.0
,118,351,20160516,
,118,352,20170928,
M,42,353,20170908,75000.0
M,50,354,20160426,57000.0
M,60,355,20170903,56000.0
F,57,356,20160408,83000.0
F,39,357,20170407,54000.0
,118,358,20170903,
F,57,359,20160827,67000.0
M,57,360,20171216,71000.0
M,68,361,20160318,51000.0
F,83,362,20150910,114000.0
F,35,363,20180102,72000.0
F,90,364,20180101,72000.0
M,56,365,20180404,72000.0
,118,366,20180114,
M,84,367,20170907,81000.0
M,62,368,20180312,39000.0
M,63,369,20170223,58000.0
,118,370,20171207,
M,67,371,20160105,56000.0
F,68,372,20171126,50000.0
M,55,373,20170508,73000.0
,118,374,20180608,
,118,375,20171014,
F,24,376,20170207,59000.0
M,40,377,20170815,39000.0
M,83,378,20180118,61000.0
,118,379,20160104,
,118,380,20160618,
F,63,381,20170316,41000.0
F,59,382,20180116,59000.0
O,49,383,20171207,42000.0
F,61,384,20160612,99000.0
M,42,385,20180613,57000.0
M,58,386,20180129,36000.0
F,48,387,20161021,44000.0
M,35,388,20170829,64000.0
M,36,389,20180315,31000.0
F,41,390,20160414,100000.0
F,83,391,20170430,73000.0
M,53,392,20171015,87000.0
,118,393,20150910,
F,53,394,20160115,97000.0
F,80,395,20180110,48000.0
M,25,396,20151116,66000.0
M,63,397,20151104,119000.0
F,63,398,20160614,66000.0
F,56,399,20180123,109000.0
M,43,400,20171004,59000.0
F,58,401,20160314,58000.0
M,59,402,20170123,59000.0
M,49,403,20180318,104000.0
F,63,404,20170912,70000.0
M,42,405,20151210,94000.0
F,52,406,20180117,57000.0
F,57,407,20180408,37000.0
F,56,408,20171109,59000.0
M,80,409,20171015,87000.0
M,43,410,20160211,52000.0
M,54,411,20171114,70000.0
M,28,412,20161111,73000.0
F,57,413,20171008,95000.0
M,71,414,20150310,67000.0
,118,415,20171029,
F,64,416,20180418,112000.0
M,20,417,20140531,49000.0
,118,418,20150822,
,118,419,20150827,
F,36,420,20170423,58000.0
F,45,421,20161004,99000.0
M,71,422,20141217,65000.0
M,67,423,20180601,89000.0
F,72,424,20160922,81000.0
M,51,425,20180512,100000.0
,118,426,20170419,
M,48,427,20170919,68000.0
M,53,428,20180410,60000.0
M,25,429,20180215,53000.0
F,79,430,20180110,85000.0
M,19,431,20180624,32000.0
F,28,432,20180411,49000.0
M,56,433,20140611,76000.0
M,44,434,20140319,37000.0
M,25,435,20171225,40000.0
F,61,436,20180113,78000.0
M,34,437,20170922,59000.0
F,41,438,20171210,37000.0
M,44,439,20161204,51000.0
F,51,440,20180629,92000.0
M,47,441,20171109,44000.0
F,63,442,20180707,70000.0
M,62,443,20171126,61000.0
M,66,444,20180703,71000.0
M,62,445,20171208,70000.0
M,83,446,20160410,88000.0
M,43,447,20180627,58000.0
F,66,448,20161204,94000.0
M,70,449,20171118,44000.0
F,65,450,20180112,66000.0
F,33,451,20161106,54000.0
M,63,452,20180726,78000.0
M,77,453,20170801,42000.0
F,49,454,20171016,57000.0
M,53,455,20170123,104000.0
F,61,456,20160228,87000.0
M,60,457,20151215,38000.0
,118,458,20151028,
F,44,459,20170918,60000.0
M,69,460,20150622,62000.0
M,39,461,20180524,71000.0
F,38,462,20150326,55000.0
F,83,463,20171223,99000.0
F,63,464,20160124,94000.0
F,41,465,20151015,41000.0
M,54,466,20171112,39000.0
,118,467,20180214,
M,41,468,20180126,55000.0
,118,469,20160623,
,118,470,20170903,
F,56,471,20170922,69000.0
,118,472,20170328,
M,50,473,20180118,98000.0
M,58,474,20151123,55000.0
M,39,475,20170425,61000.0
F,60,476,20170926,55000.0
F,60,477,20160906,74000.0
M,24,478,20180703,38000.0
M,48,479,20161130,57000.0
M,50,480,20180326,110000.0
F,41,481,20170730,67000.0
M,45,482,20150504,84000.0
M,48,483,20160709,93000.0
M,59,484,20180201,87000.0
M,43,485,20180423,45000.0
F,56,486,20171021,67000.0
M,54,487,20161206,93000.0
F,48,488,20180722,47000.0
,118,489,20180218,
,118,490,20150816,
,118,491,20170205,
M,63,492,20171226,49000.0
,118,493,20150930,
M,47,494,20171202,35000.0
M,52,495,20160830,56000.0
F,58,496,20160905,78000.0
M,78,497,20150509,39000.0
M,43,498,20140701,40000.0
M,68,499,20170806,61000.0
M,18,500,20150503,48000.0
F,39,501,20160919,85000.0
M,74,502,20180721,99000.0
F,53,503,20170119,98000.0
F,61,504,20150923,67000.0
M,23,505,20180428,54000.0
M,46,506,20171109,55000.0
M,51,507,20170827,78000.0
M,77,508,20180407,86000.0
F,79,509,20171026,91000.0
M,41,510,20150514,41000.0
F,60,511,20160217,78000.0
F,54,512,20171123,47000.0
O,63,513,20150920,89000.0
M,73,514,20180414,76000.0
M,47,515,20180211,77000.0
M,84,516,20160401,82000.0
,118,517,20180422,
M,20,518,20170901,56000.0
F,24,519,20150118,35000.0
F,58,520,20170310,71000.0
M,35,521,20170928,40000.0
,118,522,20170731,
M,57,523,20170806,33000.0
M,87,524,20150410,55000.0
F,86,525,20150506,84000.0
F,57,526,20180117,100000.0
M,61,527,20171022,112000.0
M,25,528,20171021,53000.0
M,38,529,20150513,31000.0
M,94,530,20141128,50000.0
M,59,531,20151212,61000.0
F,49,532,20171231,73000.0
F,61,533,20160614,72000.0
,118,534,20170501,
M,31,535,20171101,64000.0
F,75,536,20171102,53000.0
,118,537,20171219,
,118,538,20150809,
M,51,539,20180405,65000.0
M,68,540,20171201,74000.0
M,86,541,20180524,71000.0
F,62,542,20180707,117000.0
M,61,543,20180627,64000.0
,118,544,20180722,
F,63,545,20180627,57000.0
F,26,546,20171204,52000.0
F,50,547,20151102,77000.0
,118,548,20170902,
F,45,549,20170625,93000.0
F,88,550,20160214,64000.0
F,50,551,20170908,92000.0
F,65,552,20170909,119000.0
,118,553,20150729,
M,55,554,20170717,76000.0
M,71,555,20160406,95000.0
F,34,556,20150925,46000.0
M,81,557,20170825,65000.0
,118,558,20180607,
F,65,559,20130822,98000.0
,118,560,20160605,
,118,561,20160922,
F,63,562,20180326,62000.0
M,73,563,20160527,58000.0
F,84,564,20180125,77000.0
,118,565,20170828,
F,55,566,20180613,62000.0
M,63,567,20170924,70000.0
F,24,568,20180416,51000.0
M,36,569,20130730,74000.0
M,56,570,20160607,69000.0
F,65,571,20170502,119000.0
M,75,572,20180623,75000.0
M,71,573,20160720,114000.0
M,71,574,20171224,118000.0
M,61,575,20170425,39000.0
O,73,576,20180316,88000.0
M,19,577,20180321,73000.0
F,64,578,20170724,34000.0
F,66,579,20171020,112000.0
M,37,580,20180224,59000.0
M,22,581,20161220,49000.0
F,54,582,20180719,96000.0
M,62,583,20180105,73000.0
F,50,584,20180106,75000.0
F,80,585,20170726,87000.0
M,55,586,20150923,112000.0
M,40,587,20170303,50000.0
M,43,588,20151218,52000.0
M,61,589,20170205,53000.0
F,32,590,20170531,43000.0
,118,591,20150928,
F,68,592,20170903,32000.0
F,66,593,20170821,104000.0
M,36,594,20171226,35000.0
M,38,595,20171019,60000.0
F,80,596,20150728,54000.0
F,82,597,20180123,68000.0
M,45,598,20151027,74000.0
M,89,599,20171026,63000.0
F,45,600,20171207,94000.0
M,59,601,20180405,35000.0
M,22,602,20180322,44000.0
F,67,603,20170714,50000.0
F,30,604,20161205,41000.0
,118,605,20170415,
M,56,606,20180402,88000.0
F,53,607,20160114,100000.0
,118,608,20150823,
,118,609,20151210,
M,32,610,20161028,58000.0
F,51,611,20160223,73000.0
F,38,612,20171225,66000.0
F,52,613,20140113,45000.0
,118,614,20161008,
M,55,615,20160908,68000.0
M,81,616,20171009,41000.0
M,55,617,20171103,78000.0
F,51,618,20140202,67000.0
,118,619,20160429,
F,71,620,20150904,74000.0
M,45,621,20160303,84000.0
,118,622,20160802,
,118,623,20160305,
M,49,624,20151016,71000.0
M,62,625,20170920,48000.0
F,65,626,20151016,99000.0
,118,627,20180203,
F,50,628,20180109,63000.0
F,20,629,20180203,60000.0
F,49,630,20180430,31000.0
M,55,631,20170924,83000.0
M,58,632,20141024,54000.0
,118,633,20160607,
F,95,634,20170913,64000.0
F,83,635,20180112,99000.0
F,56,636,20160214,70000.0
M,66,637,20170523,54000.0
M,87,638,20170808,74000.0
,118,639,20160824,
M,55,640,20160826,89000.0
F,52,641,20170801,114000.0
F,59,642,20161226,83000.0
F,59,643,20160515,51000.0
F,49,644,20171128,74000.0
F,62,645,20140404,46000.0
F,56,646,20150826,80000.0
F,51,647,20170401,97000.0
F,47,648,20140608,62000.0
M,38,649,20160413,96000.0
M,43,650,20180709,44000.0
M,43,651,20161021,72000.0
M,49,652,20151106,84000.0
F,36,653,20170925,57000.0
F,45,654,20161124,58000.0
,118,655,20180331,
M,53,656,20180609,95000.0
M,43,657,20170806,60000.0
,118,658,20180326,
F,18,659,20170619,67000.0
M,40,660,20160602,41000.0
F,83,661,20170321,114000.0
M,49,662,20180123,65000.0
F,51,663,20170323,106000.0
M,25,664,20180329,55000.0
M,71,665,20180105,55000.0
M,58,666,20170917,71000.0
M,53,667,20140712,36000.0
F,83,668,20170615,93000.0
M,46,669,20160315,56000.0
F,69,670,20170225,97000.0
M,51,671,20170802,73000.0
M,61,672,20180224,68000.0
F,81,673,20170804,101000.0
M,60,674,20180202,41000.0
M,48,675,20150910,75000.0
F,48,676,20150923,87000.0
M,73,677,20140124,63000.0
F,41,678,20180211,89000.0
F,39,679,20160402,77000.0
M,31,680,20171008,56000.0
M,38,681,20171215,61000.0
F,46,682,20170911,36000.0
M,87,683,20141113,72000.0
F,53,684,20151214,83000.0
,118,685,20180615,
F,93,686,20131025,48000.0
M,42,687,20150825,41000.0
M,54,688,20151026,79000.0
M,47,689,20180726,53000.0
M,75,690,20171203,109000.0
F,79,691,20180410,61000.0
F,36,692,20171010,64000.0
M,30,693,20170409,43000.0
M,34,694,20131116,50000.0
F,39,695,20160119,78000.0
F,52,696,20160523,87000.0
M,43,697,20160416,34000.0
M,75,698,20180624,38000.0
M,47,699,20170917,40000.0
F,60,700,20180420,117000.0
M,31,701,20180123,43000.0
M,70,702,20180304,35000.0
F,49,703,20180109,36000.0
M,48,704,20170816,56000.0
M,37,705,20171219,36000.0
,118,706,20170329,
F,67,707,20150929,67000.0
M,48,708,20150719,65000.0
M,69,709,20150920,38000.0
M,66,710,20171219,32000.0
M,38,711,20170912,56000.0
F,59,712,20170816,90000.0
M,43,713,20180410,65000.0
M,43,714,20140128,41000.0
F,68,715,20170421,108000.0
M,60,716,20180424,45000.0
M,53,717,20150925,39000.0
M,34,718,20180216,50000.0
M,77,719,20180322,64000.0
F,88,720,20170511,73000.0
,118,721,20160320,
F,62,722,20180625,88000.0
M,63,723,20140731,86000.0
M,70,724,20171112,99000.0
M,38,725,20180403,33000.0
F,44,726,20180217,39000.0
F,40,727,20180306,50000.0
M,51,728,20180328,99000.0
,118,729,20161025,
F,72,730,20130814,60000.0
M,22,731,20170904,45000.0
,118,732,20160227,
M,72,733,20170819,49000.0
M,70,734,20170903,37000.0
,118,735,20170811,
M,23,736,20140719,65000.0
M,38,737,20180718,75000.0
F,71,738,20151017,67000.0
M,50,739,20130927,51000.0
M,72,740,20141204,35000.0
M,43,741,20180327,31000.0
M,63,742,20160510,70000.0
M,73,743,20180610,46000.0
M,53,744,20151227,57000.0
F,37,745,20180507,57000.0
,118,746,20180709,
M,45,747,20141029,44000.0
M,59,748,20180702,61000.0
M,74,749,20160924,51000.0
M,18,750,20161031,36000.0
F,94,751,20161130,84000.0
M,38,752,20160207,33000.0
F,67,753,20160912,50000.0
F,46,754,20151229,36000.0
M,82,755,20171220,41000.0
M,37,756,20180705,36000.0
F,65,757,20180604,71000.0
F,66,758,20170815,34000.0
F,65,759,20161009,57000.0
,118,760,20150822,
,118,761,20170928,
F,54,762,20160613,52000.0
M,63,763,20171219,113000.0
,118,764,20180405,
F,50,765,20180325,110000.0
M,64,766,20170921,81000.0
M,66,767,20171014,50000.0
F,76,768,20161209,62000.0
F,56,769,20170104,82000.0
M,49,770,20170512,75000.0
F,29,771,20151023,53000.0
,118,772,20170708,
F,51,773,20160517,56000.0
M,69,774,20180614,68000.0
M,48,775,20130815,52000.0
M,25,776,20151027,68000.0
M,82,777,20151014,78000.0
F,57,778,20160921,70000.0
M,50,779,20171224,70000.0
,118,780,20160109,
F,74,781,20180725,72000.0
,118,782,20170920,
,118,783,20170831,
F,49,784,20180604,59000.0
,118,785,20160903,
M,80,786,20170503,88000.0
,118,787,20180505,
F,62,788,20160617,81000.0
M,63,789,20180707,50000.0
F,54,790,20160424,109000.0
,118,791,20160229,
M,45,792,20180501,55000.0
F,49,793,20171226,110000.0
M,61,794,20170802,35000.0
M,46,795,20171204,46000.0
M,64,796,20140726,59000.0
,118,797,20170527,
F,69,798,20151120,89000.0
M,69,799,20150328,64000.0
M,66,800,20170701,70000.0
M,60,801,20140810,56000.0
F,40,802,20171129,51000.0
M,74,803,20150922,64000.0
F,52,804,20150930,31000.0
,118,805,20170806,
F,62,806,20150806,55000.0
F,61,807,20151010,118000.0
F,22,808,20170812,55000.0
M,62,809,20170325,35000.0
M,23,810,20170831,63000.0
F,90,811,20160911,104000.0
F,72,812,20151102,41000.0
F,69,813,20160307,93000.0
F,71,814,20171121,43000.0
M,32,815,20180422,38000.0
M,36,816,20180310,51000.0
F,58,817,20180621,38000.0
M,75,818,20151129,103000.0
F,58,819,20170929,41000.0
M,76,820,20170107,69000.0
,118,821,20180417,
F,49,822,20131026,73000.0
F,57,823,20160103,90000.0
M,66,824,20180118,74000.0
M,33,825,20180106,54000.0
M,54,826,20180523,39000.0
F,48,827,20161008,82000.0
F,66,828,20170227,62000.0
F,46,829,20150221,73000.0
F,51,830,20170501,91000.0
F,67,831,20150813,58000.0
F,28,832,20180120,65000.0
F,20,833,20170910,55000.0
M,74,834,20170801,34000.0
,118,835,20171220,
M,67,836,20131019,73000.0
,118,837,20171208,
,118,838,20171113,
M,86,839,20170928,55000.0
M,58,840,20170906,83000.0
,118,841,20161222,
,118,842,20150829,
M,67,843,20170804,41000.0
F,58,844,20170213,92000.0
F,54,845,20170211,82000.0
F,56,846,20160624,55000.0
,118,847,20160603,
M,58,848,20180420,41000.0
F,56,849,20180720,91000.0
M,63,850,20180526,61000.0
O,48,851,20160729,80000.0
M,50,852,20180615,59000.0
,118,853,20171221,
M,63,854,20170804,96000.0
,118,855,20170409,
F,79,856,20131207,94000.0
M,47,857,20180123,92000.0
M,57,858,20170611,110000.0
F,63,859,20160728,74000.0
M,79,860,20180613,64000.0
M,54,861,20150811,92000.0
M,53,862,20171118,33000.0
M,53,863,20171113,96000.0
F,70,864,20150914,58000.0
F,47,865,20160306,77000.0
M,42,866,20160429,60000.0
,118,867,20170214,
M,61,868,20150829,100000.0
M,30,869,20180305,35000.0
M,59,870,20170827,108000.0
M,38,871,20180615,38000.0
F,72,872,20171014,35000.0
M,69,873,20150324,36000.0
M,31,874,20160926,55000.0
F,58,875,20180413,37000.0
F,74,876,20180122,61000.0
M,66,877,20160321,72000.0
F,65,878,20170421,88000.0
F,56,879,20160519,83000.0
M,63,880,20180424,51000.0
F,38,881,20180322,69000.0
F,70,882,20171101,78000.0
F,64,883,20141203,70000.0
F,43,884,20180316,47000.0
M,47,885,20161017,69000.0
M,49,886,20150906,91000.0
F,64,887,20140910,59000.0
F,50,888,20150916,67000.0
O,32,889,20161223,54000.0
F,56,890,20170820,106000.0
M,53,891,20160108,69000.0
M,33,892,20170916,68000.0
,118,893,20150914,
M,25,894,20150829,56000.0
O,59,895,20170805,73000.0
F,58,896,20171220,77000.0
F,73,897,20151111,67000.0
M,45,898,20170727,52000.0
,118,899,20151105,
,118,900,20170905,
F,22,901,20171030,50000.0
F,50,902,20171114,110000.0
M,57,903,20170728,33000.0
,118,904,20160306,
M,56,905,20150823,56000.0
F,68,906,20170502,115000.0
,118,907,20151209,
M,36,908,20180721,67000.0
M,66,909,20150317,50000.0
F,68,910,20180518,117000.0
F,84,911,20180414,68000.0
F,74,912,20180617,52000.0
F,49,913,20171106,70000.0
,118,914,20171209,
F,30,915,20151124,69000.0
F,74,916,20170814,97000.0
F,55,917,20180412,57000.0
M,19,918,20170114,65000.0
M,69,919,20170817,70000.0
F,69,920,20180516,34000.0
M,54,921,20160421,39000.0
M,25,922,20140711,60000.0
,118,923,20161030,
F,49,924,20150921,112000.0
M,55,925,20171022,41000.0
M,69,926,20140601,72000.0
,118,927,20151217,
M,60,928,20171101,68000.0
M,40,929,20161121,91000.0
F,64,930,20170604,59000.0
,118,931,20171016,
M,65,932,20160618,50000.0
F,91,933,20170815,37000.0
M,71,934,20170502,87000.0
,118,935,20170812,
M,57,936,20161114,38000.0
M,51,937,20150826,93000.0
M,82,938,20171012,89000.0
M,60,939,20161227,68000.0
M,68,940,20171003,71000.0
M,42,941,20170609,63000.0
F,65,942,20170129,77000.0
F,42,943,20171229,53000.0
M,45,944,20180506,63000.0
M,64,945,20171003,38000.0
F,53,946,20170126,32000.0
,118,947,20171025,
F,47,948,20171024,53000.0
M,92,949,20180601,113000.0
F,42,950,20160813,48000.0
M,45,951,20171013,68000.0
F,60,952,20180528,47000.0
M,32,953,20151030,34000.0
M,63,954,20170701,73000.0
F,89,955,20170902,81000.0
F,54,956,20170729,91000.0
F,53,957,20180117,95000.0
M,60,958,20171021,42000.0
M,21,959,20161114,74000.0
M,63,960,20171005,58000.0
F,90,961,20180130,75000.0
M,47,962,20161017,82000.0
M,25,963,20140531,46000.0
,118,964,20160712,
M,41,965,20170510,61000.0
,118,966,20180123,
M,22,967,20160226,31000.0
,118,968,20180709,
F,57,969,20160201,51000.0
,118,970,20170510,
F,37,971,20150928,100000.0
F,65,972,20140616,79000.0
M,45,973,20180408,32000.0
M,42,974,20180615,53000.0
M,19,975,20170915,69000.0
M,33,976,20171109,51000.0
F,96,977,20171128,72000.0
